Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;APO 10 - Conta Corrente Integrado (Recria) - 0075_04 PLU_AGRO 0075 ESPIGAO ALTO PR OVOS FERTEIS;PLUMA_AGRO.PPE.5439.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0076_04 PLU_AGRO 0076 BOM SUCESSO PR OVOS FERTEIS;PLUMA_AGRO.PPE.7001.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0077_04 PLU_AGRO 0077 RENASCENCA PR OVOS FERTEIS;PLUMA_AGRO.PPE.6563.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0078_04 PLU_AGRO 0078 DOIS VIZINHOS PR OVOS FERTEIS;PLUMA_AGRO.PPE.6325.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0079_04 PLU_AGRO 0079 DOIS VIZINHOS PR OVOS FERTEIS;PLUMA_AGRO.PPE.6117.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0080_04 PLU_AGRO 0080 PEDERNEIRAS SP OVOS FERTEIS;PLUMA_AGRO.PPE.6813.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0081_04 PLU_AGRO 0081 VERE PR OVOS FERTEIS;PLUMA_AGRO.PPE.4891.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0082_04 PLU_AGRO 0082 AREALVA SP OVOS FERTEIS;PLUMA_AGRO.PPE.7487.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0083_04 PLU_AGRO 0083 PEDERNEIRAS SP OVOS FERTEIS;PLUMA_AGRO.PPE.5135.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;APO 10 - Conta Corrente Integrado (Recria) - 0085_04 PLU_AGRO 0085 SANTO ANTONIO DO SUDOESTE PR OVO;PLUMA_AGRO.PPE.5195.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
